smiles,logP,qed,sas
C1C2CC3CC1CC(C2)(C3)N,1.9139,0.562066413,0.3
C1C2CC3CC1CC(C2)(C3)N.Cl,2.3357,0.619243881,0.38
CN1CCC2=C3[C@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O.Cl,3.2717,0.734188896,0.61
CN1[C@@H]2CC[C@H]1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4.CS(=O)(=O)O,3.9218,0.783947816,1.21
CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)NN.C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O,-0.0009,0.163745998,1.55
CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N,1.78138,0.280418537,1.11
CCN1C2=C(C(=O)N(C1=O)CC)N(C(=N2)/C=C/C3=CC(=C(C=C3)OC)OC)C,2.1241,0.650379112,1.37
C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O,0.0522,0.512506925,0.69
CC1=C(C(=[N+](C(=C1Cl)C)[O-])Cl)C2=NOC(=N2)C3=CC(=C(C(=C3)O)O)[N+](=O)[O-],3.28004,0.165893622,1.13
CCCN[C@H]1CCC2=C(C1)SC(=N2)N.Cl.Cl,2.4258,0.895959989,0.87
CS(=O)(=O)O.C#CCN[C@@H]1CCC2=CC=CC=C12,1.4007,0.6277046,0.73
CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1.Cl,3.2675,0.837409228,1.29
CCCN(CCC1=CC=CS1)[C@H]2CCC3=C(C2)C=CC=C3O,4.2657,0.860475042,1.23
C[C@@H](C(=O)N)NCC1=CC=C(C=C1)OCC2=CC(=CC=C2)F,2.3681,0.825045532,1.3
C[C@@H](C(=O)N)NCC1=CC=C(C=C1)OCC2=CC(=CC=C2)F.CS(=O)(=O)O,1.8721,0.612885518,1.5
C[C@H](CC1=CC=CC=C1)N(C)CC#C,2.1826,0.6530252,0.77
C[C@H](CC1=CC=CC=C1)N(C)CC#C.Cl,2.6044,0.709787571,0.85
CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-],2.54542,0.38710486,0.85
