step,smiles,weight,DockScore,raw_DockScore,agent_likelihood,prior_likelihood,augmented_likelihood
941.0,O=C(NCc1nnc(-c2cc3ccccc3[nH]2)o1)c1ccc(F)cc1,0.4615795314311981,0.46157953,-9.893,-14.250668,-25.101595,2.5931769609451294
941.0,O=C(NCc1ccc2ccccc2n1)c1ccc2[nH]c(=O)c(=O)[nH]c2c1,0.7358774542808533,0.73587745,-10.712,-13.253891,-22.901733,21.250913858413696
941.0,NNC(=O)N1CCC(C(=O)c2ccc(-c3ccc4cc[nH]c4c3)cc2)CC1,0.8422586917877197,0.8422587,-11.164,-16.084894,-35.689335,14.846186637878418
941.0,NOC(=O)c1cc(-c2ccc(-c3ccc4cnccc4c3F)c(F)c2)on1,0.6982554793357849,0.6982555,-10.583,-20.767479,-53.764595,-11.869266271591187
941.0,O=C(Nc1nc(-c2cc3cc(F)ccc3oc2=O)co1)c1cnccn1,0.6967372894287109,0.6967373,-10.578,-12.780032,-28.717684,13.086553573608398
941.0,O=C(Nc1ccc2cc3c(cc2c1)OCCO3)c1ccc2[nH]cnc2c1,0.8385918140411377,0.8385918,-11.145,-9.491783,-19.78982,30.525689125061035
941.0,O=C(Nc1nc2c(s1)CCC2)c1ccc2[nH]c(-c3cccnc3)nc2c1,0.6763016581535339,0.67630166,-10.512,-14.414079,-25.966776,14.611323595046997
941.0,O=C(Nc1cc(-c2ccc3c(c2)CCC3)n[nH]1)c1cc2ccccc2[nH]1,0.6626095771789551,0.6626096,-10.469,-11.5764265,-24.870367,14.886207580566406
941.0,O=C(c1ccc2[nH]c(-c3nc4ccccc4[nH]3)nc2c1)N1CCCC1,0.5071950554847717,0.50719506,-10.02,-11.912262,-29.708588,0.7231156826019287
941.0,O=C(NCc1noc(-c2cc3ccccc3[nH]2)n1)N1CCc2[nH]ncc2C1,0.8051766157150269,0.8051766,-10.986,-15.854656,-37.718716,10.591881275177002
941.0,O=C(Nc1cnn(-c2ncccn2)c1)c1ccc(-c2ccccc2)cc1,0.42783215641975403,0.42783216,-9.798,-15.6917305,-18.33161,7.338319659233093
