step,smiles,weight,DockScore,raw_DockScore,agent_likelihood,prior_likelihood,augmented_likelihood
650.0,O=C(Nc1cnc(-c2ccncc2)nc1)c1cc(-c2ccccc2)[nH]n1,0.49712181091308594,0.4971218,-9.992,-15.113907,-18.170156,11.65715217590332
650.0,O=C(NCc1ccc2ccccc2c1)c1cccc(N2CCOCC2)c1F,0.5700528025627136,0.5700528,-10.196,-14.391778,-31.541239,2.6619293689727783
650.0,NNC(=O)C1(CNC(=O)c2oc3ccc(-c4ccccc4)cc3c2N)CCC1,0.5204958915710449,0.5204959,-10.057,-16.432129,-44.40423,-13.174474716186523
650.0,NNC(=O)N1CCC(c2ccc(-c3ccc(-c4ccccc4)o3)cc2)CC1,0.6976487040519714,0.6976487,-10.581,-13.112068,-35.38155,6.477372407913208
650.0,NNC(=O)c1ccc(-c2cccc(-c3ccc(-c4ccno4)nc3)c2)c(F)c1,0.8013101816177368,0.8013102,-10.969,-14.898354,-44.254997,3.8236136436462402
650.0,O=C(Nc1ccc2c(c1)OCO2)c1ccc(-c2ccccc2F)cc1,0.599396824836731,0.5993968,-10.28,-12.480541,-33.666462,2.2973475456237793
650.0,O=C(Cn1cnc2ccccc2c1=O)Nc1ccc2[nH]c(=O)[nH]c2c1,0.4985608756542206,0.49856088,-9.996,-13.145416,-12.667387,17.246265530586243
650.0,NNC(=O)c1cnc(C-c2ccc(-c3noc(-c4cn[nH]n4)n3)cc2)cn1,0.6303950548171997,0.63039505,-10.371,-24.617588,-44.6227,-6.798996448516846
650.0,NNC(=O)c1cccc(-c2ccc(-c3ccc(-c4ncccc4F)nc3)nc2)c1,0.8342602849006653,0.8342603,-11.123,-20.491255,-52.088985,-2.0333683490753174
650.0,NNC(=O)c1cccc(-c2ccc(-c3ccc4ccccc4n3)cc2)c1F,0.8401440382003784,0.84014404,-11.153,-10.768306,-29.5537,20.854942798614502
650.0,NNC(=O)c1cccc(-c2cccc(-c3cnc4ccccc4c3)c2)c1F,0.8616563677787781,0.86165637,-11.271,-11.378816,-36.070892,15.62848973274231
650.0,NNC(=O)c1ccc2cc(-c3ccc4c(c3)CCC(=O)N4)ccc2c1N,0.7862385511398315,0.78623855,-10.905,-12.833179,-32.26598,14.90833330154419
650.0,NCc1ccc(-c2nc3ccc(Nc4ccc(F)c(N)c4)cc3nc2C)cc1,0.6417210698127747,0.64172107,-10.405,-25.99156,-45.692535,-7.1892712116241455
650.0,O=C(Nc1ccc2c(c1)OCO2)c1ccc(-c2ccc(F)c(F)c2)cn1,0.6280447840690613,0.6280448,-10.364,-16.082031,-28.822855,8.859832048416138
650.0,O=C1Cc2ccc(C(=O)Nc3ccc(-c4ccccc4)cc3)cc2N1=O,5.623410288535524e-07,5.6234103e-07,0.0,-17.822397,-37.92056,-37.92052518898163
650.0,NCC(=O)c1cccc(NC(=O)Nc2nc(-c3ccc(F)cc3)no2)c1,0.48381561040878296,0.4838156,-9.955,-16.438614,-24.962837,4.066099405288696
650.0,O=C(Nc1cnc2ccc(C(=O)N3CCC(O)CC3)cc2c1)c1ccccc1,0.6127954125404358,0.6127954,-10.319,-17.108124,-47.738983,-10.971258401870728
650.0,NNC(=O)c1cccc(-c2cccc(-c3nc(-c4ccccc4)no3)c2)c1O,0.7783967852592468,0.7783968,-10.873,-12.937032,-31.645075,15.058732271194458
650.0,NNC(=O)c1cccc(C(=O)Nc2cnc(-c3cccc(F)c3)nc2)c1,0.6031919121742249,0.6031919,-10.291,-14.857751,-20.890795,15.300719976425171
650.0,O=C(Nc1ccc2c(c1)OCCCO2)c1ccc(-c2nc3ccccc3o2)o1,0.8242788314819336,0.82427883,-11.074,-11.917461,-34.282734,15.173995971679688
650.0,NNC(=O)c1cccc(-c2ccc(-c3nc(N)c4c(F)cccc4n3)cc2)c1,0.8653874397277832,0.86538744,-11.293,-15.997873,-38.08244,13.84080696105957
650.0,NNC(=O)c1cc(Cl)ccc1NC(=O)N1CCC(Cc2ccco2)CC1,0.3230685591697693,0.32306856,-9.486,-21.98395,-34.15113,-14.767017126083374
650.0,NNC(=O)c1nc(-c2cccc(-c3ccc4c(c3)OCCCO4)c2)cs1,0.6486392617225647,0.64863926,-10.426,-12.486275,-29.69196,9.226396322250366
650.0,O=C(Nc1ccc2ncccc2c1)N1CCN(c2ccc3nnccc3c2)CC1,0.8601052165031433,0.8601052,-11.262,-12.727246,-50.908752,0.6975605487823486
650.0,NNC(=O)c1ccc(-c2cccc(-c3ccc4c(c3)CCCC4)c2)cc1O,0.8177232146263123,0.8177232,-11.043,-10.023747,-31.29381,17.769582986831665
650.0,O=C(Nc1cnc2ccccc2c1)c1cc2cc(N3CCOCC3)ccc2o1,0.6062878370285034,0.60628784,-10.3,-13.098371,-27.585602,8.79166841506958
650.0,O=C(NCc1ccc2ccccc2c1)c1ccc2c(c1)Cc1cnccc1O2,0.8118600249290466,0.81186,-11.016,-14.298006,-41.725864,6.985737085342407
650.0,NNC(=O)c1cnc(NC(=O)c2ccc(-c3ccc4cc[nH]c4c3)o2)cn1,0.7652199268341064,0.7652199,-10.821,-12.915812,-30.287325,15.625870704650879
650.0,O=C(Nc1ccc2[nH]c(-c3ccccc3)nc2c1)C1Cc2ccccc2CN1,0.7816070914268494,0.7816071,-10.886,-13.33434,-26.53051,20.365915536880493
650.0,NNC(=O)c1ccc(-c2nc3cc(NC(=O)c4ccncc4)ccc3o2)nn1,0.7830774188041687,0.7830774,-10.892,-16.051012,-35.9685,11.016146898269653
650.0,NNC(=O)c1nnc(-c2cccc(-c3ccc4ccccc4c3)c2)o1,0.691236138343811,0.69123614,-10.56,-11.007679,-25.052715,16.42145299911499
650.0,NCc1cnc(C(=O)Nc2ccc(F)c(-c3c[nH]c4ccccc34)c2)cn1,0.5348420143127441,0.534842,-10.097,-20.802954,-36.82647,-4.73594856262207
650.0,O=C(Cc1ccc(-c2ccccc2)cc1)Nc1ccc2[nH]c(=O)[nH]c2c1,0.5658152103424072,0.5658152,-10.184,-10.086359,-16.85844,17.09047222137451
650.0,NOC(=O)c1n[nH]c2ccc(NC(=O)c3ccccc3-c3ccccc3)cc12,0.10968982428312302,0.109689824,-8.545,-18.662777,-19.47175,-12.890360802412033
650.0,NNC(=O)c1cnc(N2CCC(Nc3ccc4c(c3)CCC(=O)N4)CC2)cn1,0.15116412937641144,0.15116413,-8.801,-12.943884,-53.41219,-44.34234172105789
650.0,CNC(=O)c1ccc(-n2ncc3cc(C(=O)c4ccccc4)ccc32)cc1,0.449088454246521,0.44908845,-9.858,-12.9488735,-29.151213,-2.2059054374694824
650.0,NNC(=O)c1ccc(-c2ccc(-c3ccc4cccc(F)c4n3)cn2)nc1F,0.7474566102027893,0.7474566,-10.754,-15.381781,-49.779045,-4.93164849281311
650.0,OC=C(Nc1cccc(N2CCCC2=O)c1)c1cc(-c2ccccc2)on1,0.4264236092567444,0.4264236,-9.794,-15.098265,-21.891691,3.693725347518921
650.0,NNC(=O)c1cc(NC(=O)N2CCc3ccc(F)cc3C2)ccc1F,0.6433737277984619,0.6433737,-10.41,-10.198805,-20.706121,17.896302223205566
650.0,NNC(=O)c1cccc(-c2ccc(-c3ccc4ccccc4n3)cc2O)c1,0.8302421569824219,0.83024216,-11.103,-11.937906,-30.262785,19.55174446105957
650.0,NNC(=O)c1ccc(-c2cccc(-c3ccc(-c4ccc(O)cc4)cc3)c2)cc1,0.8578389286994934,0.8578389,-11.249,-13.180554,-33.502533,17.96780276298523
650.0,NCc1nnc(CNc2ccc(-c3ccc4c(c3)CCN4)cc2)o1,0.25636547803878784,0.25636548,-9.26,-21.538862,-34.28296,-18.90103030204773
650.0,O=C(Nc1ccc2c(c1)OCO2)c1nc2cc(F)c(F)cc2oc1=O,0.6489671468734741,0.64896715,-10.427,-14.357418,-31.103924,7.834105014801025
650.0,NNC(=O)c1nc(-c2coc(-c3ccc4ccc(O)cc4c3)n2)co1,0.6725096702575684,0.6725097,-10.5,-14.574672,-37.099854,3.2507266998291016
650.0,NNC(=O)c1ccc2nc(-c3ccc(-c4cccc(N)c4)cc3)ccc2n1,0.5959362983703613,0.5959363,-10.27,-13.711297,-39.514374,-3.7581958770751953
650.0,O=C(Nc1cnc2ccccc2c1O)c1cnc2cc(F)ccc2c1O,0.5756869316101074,0.57568693,-10.212,-17.05555,-34.723846,-0.1826305389404297
650.0,O=C(Nc1ccc2c(c1)C(=O)c1ccccc1O2)c1ccc2[nH]nnc2c1,0.9384422898292542,0.9384423,-11.893,-11.697449,-27.279842,29.026695013046265
650.0,O=C(Nc1ccc2[nH]c(C3CCCC3)nc2c1)c1ccc2ncnnc2c1,0.7131966352462769,0.71319664,-10.633,-12.915659,-37.710335,5.08146333694458
650.0,NNC(=O)C1Cc2ccc(NC(=O)c3ccc4[nH]cnc4c3)cc2N1,0.6609991192817688,0.6609991,-10.464,-14.187633,-30.273943,9.386004209518433
650.0,O=C(CNCc1nc2ccccc2s1)N1CCN(c2ncccn2)CC1,0.3858396112918854,0.3858396,-9.677,-18.917278,-21.695608,1.4547685384750366
650.0,NNC(=O)c1ccc(-c2cccc(-c3cnc4c(c3)OCCO4)c2)cc1O,0.7623639106750488,0.7623639,-10.81,-15.916563,-40.69298,5.048852920532227
650.0,O=C(Nc1cn[nH]c1)N1CCN(c2ncnc3[nH]ccc23)CC1,0.4433985948562622,0.4433986,-9.842,-14.631183,-19.679428,6.924487590789795
650.0,NNC(c1cc2ccc3[nH]c(-c4ccccc4)nc3c2[nH]1)c1ncccc1O,0.5686413645744324,0.56864136,-10.192,-29.318518,-64.93024,-30.811754941940308
650.0,O=C(Cc1ccc2[nH]c(=O)oc2c1)N1CCC(c2ccc3cccnc3c2)C1,0.8484662175178528,0.8484662,-11.197,-18.36801,-36.023342,14.884630918502808
650.0,O=C(C1Cc2cc(Cl)ccc2O1)N1CCN(c2ccc3nncnc3c2)CC1,0.8675519824028015,0.867552,-11.306,-13.884083,-53.729332,-1.676213026046753
